Postcode,Postcode District,Count
CH62 3NX,CH62,1
CH44 6NH,CH44,1
ME5 0FJ,ME5,1
M7 4GZ,M7,2
M7 4GZ,M7,2
WS2 7HP,WS2,4
WS2 7HP,WS2,4
WS2 7HP,WS2,4
WS2 7HP,WS2,4
NR25 6NB,NR25,1
YO14 0HG,YO14,1
DE45 1SJ,DE45,1
LL35 0HG,LL35,3
LL35 0HG,LL35,3
LL35 0HG,LL35,3
BH22 9DX,BH22,4
BH22 9DX,BH22,4
BH22 9DX,BH22,4
BH22 9DX,BH22,4
DN34 5DE,DN34,1
PL1 1AA,PL1,2
PL1 1AA,PL1,2
PR4 5ZS,PR4,1
SK12 2LR,SK12,1
CW5 6AX,CW5,1
PL14 4AU,PL14,3
PL14 4AU,PL14,3
PL14 4AU,PL14,3
CV10 9GL,CV10,2
CV10 9GL,CV10,2
GU6 8JH,GU6,2
GU6 8JH,GU6,2
CF11 7DY,CF11,1
WC1N 1BN,WC1N,1
PH17 2QN,PH17,1
NE92 1AB,NE92,1
G77 6JT,G77,1
AA9A 9AA,AA9A,1
S98 1AF,S98,2
S98 1AF,S98,2
HU10 7FA,HU10,1
